Date,Open,High,Low,Close,Volume
14-Nov-16,4.45,4.59,4.28,4.49,8623
11-Nov-16,4.17,4.76,4.04,4.40,31827
10-Nov-16,4.60,4.66,4.30,4.36,36806
9-Nov-16,4.67,4.78,4.55,4.56,27779
8-Nov-16,4.76,4.96,4.68,4.75,12592
7-Nov-16,4.80,4.81,4.68,4.76,21440
4-Nov-16,4.86,5.00,4.70,4.75,23628
3-Nov-16,4.86,4.95,4.84,4.84,16533
2-Nov-16,5.04,5.04,4.76,4.90,26683
1-Nov-16,5.11,5.11,4.80,5.00,28795
31-Oct-16,5.16,5.31,5.08,5.20,16419
28-Oct-16,5.22,5.22,5.06,5.17,13743
27-Oct-16,5.60,5.60,4.95,5.25,47249
26-Oct-16,5.56,5.58,5.38,5.51,16875
25-Oct-16,5.25,5.55,5.25,5.55,81309
24-Oct-16,5.15,5.34,5.00,5.27,74401
21-Oct-16,5.00,5.00,4.93,5.00,29248
20-Oct-16,4.89,5.05,4.84,4.92,44748
19-Oct-16,4.90,4.95,4.75,4.85,22468
18-Oct-16,5.00,5.05,4.77,4.93,24683
17-Oct-16,5.00,5.00,4.95,4.95,4442
14-Oct-16,5.05,5.05,4.94,5.00,21773
13-Oct-16,4.99,5.03,4.99,4.99,4513
12-Oct-16,5.07,5.07,4.93,4.96,2166
11-Oct-16,5.10,5.10,4.98,5.00,36831
10-Oct-16,4.93,5.06,4.90,5.03,19792
7-Oct-16,4.94,4.98,4.90,4.96,11079
6-Oct-16,5.05,5.05,4.90,4.90,10256
5-Oct-16,5.19,5.19,4.99,5.00,6153
4-Oct-16,5.14,5.24,4.95,5.04,14225
3-Oct-16,5.14,5.24,5.02,5.07,6531
30-Sep-16,5.09,5.19,5.02,5.17,8936
29-Sep-16,5.13,5.17,4.90,5.12,15068
28-Sep-16,5.12,5.13,4.98,5.13,13165
27-Sep-16,5.20,5.20,4.92,5.13,15423
26-Sep-16,5.25,5.25,5.11,5.19,5914
23-Sep-16,5.32,5.32,5.24,5.29,16757
22-Sep-16,5.25,5.31,5.23,5.25,4028
21-Sep-16,5.22,5.34,5.22,5.27,8794
20-Sep-16,5.14,5.22,5.14,5.20,11101
19-Sep-16,5.05,5.24,5.05,5.20,12671
16-Sep-16,5.03,5.12,4.91,5.12,20842
15-Sep-16,5.10,5.12,4.98,5.06,9914
14-Sep-16,5.09,5.10,4.96,5.10,15815
13-Sep-16,4.96,5.12,4.96,5.01,6149
12-Sep-16,4.76,5.05,4.76,4.96,8672
9-Sep-16,5.02,5.02,4.75,4.86,4252
8-Sep-16,4.96,5.07,4.86,5.07,9574
7-Sep-16,4.90,5.12,4.86,4.90,8276
6-Sep-16,5.06,5.06,4.85,4.88,9966
2-Sep-16,5.24,5.25,5.02,5.10,17236
1-Sep-16,5.35,5.35,4.93,5.31,11602
31-Aug-16,5.28,5.30,5.20,5.28,6040
30-Aug-16,5.24,5.34,5.12,5.28,4570
29-Aug-16,5.09,5.28,5.00,5.28,10666
26-Aug-16,4.86,5.04,4.76,4.98,18385
25-Aug-16,5.10,5.10,4.78,4.93,3042
24-Aug-16,5.08,5.09,5.00,5.04,6678
23-Aug-16,5.00,5.09,4.91,5.09,4574
22-Aug-16,4.90,4.99,4.85,4.99,6594
19-Aug-16,4.94,4.94,4.85,4.87,10999
18-Aug-16,4.82,5.14,4.78,4.99,4318
17-Aug-16,4.88,4.91,4.77,4.85,21201
16-Aug-16,4.80,4.91,4.75,4.89,16701
15-Aug-16,4.79,4.89,4.77,4.77,6518
12-Aug-16,5.00,5.04,4.74,4.85,47714
11-Aug-16,5.19,5.20,5.00,5.02,12918
10-Aug-16,5.21,5.29,5.01,5.13,8440
9-Aug-16,5.05,5.14,5.05,5.14,7962
8-Aug-16,5.21,5.28,5.00,5.03,14142
5-Aug-16,5.33,5.33,5.10,5.18,12762
4-Aug-16,5.13,5.40,5.13,5.36,2300
3-Aug-16,5.29,5.40,5.20,5.34,7582
2-Aug-16,5.30,5.39,5.05,5.33,14615
1-Aug-16,5.35,5.35,5.31,5.35,2555
29-Jul-16,5.32,5.45,5.32,5.44,5520
28-Jul-16,5.24,5.39,5.24,5.36,9517
27-Jul-16,5.16,5.38,5.10,5.32,14537
26-Jul-16,5.05,5.40,5.05,5.21,8458
25-Jul-16,5.32,5.32,5.00,5.04,31209
22-Jul-16,5.39,5.43,5.34,5.36,5077
21-Jul-16,5.33,5.40,5.25,5.38,5424
20-Jul-16,5.39,5.39,5.26,5.37,7941
19-Jul-16,5.40,5.43,5.25,5.28,17027
18-Jul-16,5.50,5.50,5.40,5.42,5020
15-Jul-16,5.50,5.54,5.22,5.54,11261
14-Jul-16,5.55,5.55,5.32,5.49,6168
13-Jul-16,5.42,5.60,5.38,5.50,11702
12-Jul-16,5.19,5.57,5.19,5.38,29058
11-Jul-16,5.17,5.17,5.01,5.10,14551
8-Jul-16,5.02,5.17,5.00,5.13,18558
7-Jul-16,4.73,4.98,4.70,4.92,15789
6-Jul-16,4.55,4.85,4.55,4.76,6278
5-Jul-16,4.80,4.90,4.48,4.55,7545
1-Jul-16,4.87,5.16,4.75,4.92,19277
30-Jun-16,4.60,5.07,4.60,4.93,25321
29-Jun-16,4.92,4.92,4.59,4.84,12936
28-Jun-16,4.75,4.88,4.62,4.88,10656
27-Jun-16,4.65,4.78,4.56,4.75,13148
24-Jun-16,4.74,4.86,4.55,4.86,30425
23-Jun-16,4.86,4.89,4.81,4.85,5490
22-Jun-16,4.75,4.92,4.68,4.82,9020
21-Jun-16,4.94,4.94,4.62,4.69,6311
20-Jun-16,4.67,4.89,4.64,4.84,22741
17-Jun-16,4.67,4.77,4.61,4.61,24916
16-Jun-16,4.72,4.88,4.62,4.82,8913
15-Jun-16,4.93,4.97,4.69,4.69,12910
14-Jun-16,4.76,4.95,4.66,4.90,12835
13-Jun-16,4.84,4.99,4.76,4.80,22043
10-Jun-16,4.68,4.96,4.68,4.96,17133
9-Jun-16,4.74,4.87,4.72,4.73,8418
8-Jun-16,4.80,4.89,4.80,4.87,18121
7-Jun-16,4.86,4.95,4.77,4.83,13914
6-Jun-16,4.82,5.00,4.53,4.93,36341
3-Jun-16,4.80,4.93,4.78,4.92,2967
2-Jun-16,4.83,4.96,4.68,4.95,18666
1-Jun-16,4.69,4.95,4.23,4.93,42630
31-May-16,4.29,4.77,4.24,4.77,27132
27-May-16,4.01,4.35,3.97,4.34,52400
26-May-16,4.15,4.18,3.95,4.06,39627
25-May-16,4.12,4.19,4.00,4.14,10303
24-May-16,4.00,4.17,3.96,4.16,46350
23-May-16,3.92,4.08,3.91,4.02,12392
20-May-16,4.06,4.06,3.95,3.95,18947
19-May-16,3.92,4.03,3.73,4.03,18423
18-May-16,4.15,4.21,3.90,3.90,33506
17-May-16,4.19,4.19,3.96,4.12,39205
16-May-16,4.22,4.70,3.91,4.26,40130
13-May-16,4.81,4.81,4.00,4.21,34698
12-May-16,4.69,4.79,4.60,4.79,10546
11-May-16,4.69,4.78,4.69,4.74,15147
10-May-16,4.75,4.89,4.51,4.67,32502
9-May-16,5.12,5.22,4.60,4.76,70193
6-May-16,5.26,5.29,5.12,5.19,26630
5-May-16,5.21,5.35,5.16,5.22,25989
4-May-16,5.42,5.60,5.15,5.31,32118
3-May-16,5.32,5.60,5.12,5.59,35024
2-May-16,5.65,5.84,5.35,5.38,35553
29-Apr-16,5.38,5.42,5.20,5.41,9865
28-Apr-16,5.46,5.54,5.25,5.26,13153
27-Apr-16,5.38,5.56,5.30,5.41,22624
26-Apr-16,5.30,5.75,5.09,5.35,161092
25-Apr-16,5.48,5.48,5.14,5.18,14696
22-Apr-16,5.47,5.51,5.07,5.29,30281
21-Apr-16,5.71,5.93,5.25,5.29,51623
20-Apr-16,5.28,5.75,5.28,5.65,44769
19-Apr-16,6.37,6.63,4.75,4.91,243096
18-Apr-16,4.70,6.25,4.38,6.11,313998
15-Apr-16,4.50,4.82,4.30,4.62,22941
14-Apr-16,4.49,4.67,4.24,4.48,14576
13-Apr-16,4.40,4.65,4.26,4.44,12158
12-Apr-16,4.30,4.40,4.21,4.29,4848
11-Apr-16,4.25,4.29,4.19,4.26,5328
8-Apr-16,4.24,4.27,4.08,4.24,8310
7-Apr-16,4.49,4.49,4.11,4.20,28321
6-Apr-16,4.25,4.40,4.16,4.20,9618
5-Apr-16,4.38,4.41,4.12,4.29,15735
4-Apr-16,4.45,4.54,4.22,4.35,20286
1-Apr-16,4.51,4.55,4.40,4.41,8420
31-Mar-16,4.58,4.67,4.42,4.52,32892
30-Mar-16,4.36,4.56,4.36,4.51,25883
29-Mar-16,4.52,4.58,4.16,4.37,49212
28-Mar-16,4.25,4.52,4.10,4.52,23569
24-Mar-16,4.14,4.24,3.94,4.12,17356
23-Mar-16,4.11,4.30,4.00,4.27,148047
22-Mar-16,3.99,4.19,3.96,3.98,56817
21-Mar-16,4.05,4.05,3.95,3.99,79817
18-Mar-16,4.01,4.19,3.99,4.00,17865
17-Mar-16,4.10,4.39,4.01,4.01,14394
16-Mar-16,4.15,4.21,3.90,4.10,30522
15-Mar-16,4.15,4.22,4.10,4.10,6247
14-Mar-16,4.24,4.30,4.10,4.16,34048
11-Mar-16,4.07,4.32,4.03,4.29,59550
10-Mar-16,4.36,4.45,4.02,4.07,20164
9-Mar-16,4.46,4.46,4.31,4.36,11453
8-Mar-16,4.40,4.50,4.31,4.37,17969
7-Mar-16,4.56,4.63,4.40,4.40,44047
4-Mar-16,4.73,4.73,4.50,4.60,40325
3-Mar-16,4.80,4.93,4.73,4.73,7597
2-Mar-16,4.87,4.90,4.74,4.75,5218
1-Mar-16,4.95,4.98,4.70,4.98,13198
29-Feb-16,4.96,5.00,4.55,4.95,10799
26-Feb-16,4.50,4.96,4.45,4.96,16731
25-Feb-16,4.73,4.73,4.32,4.69,10908
24-Feb-16,4.52,4.61,4.42,4.58,7972
23-Feb-16,4.70,4.71,4.25,4.50,21060
22-Feb-16,4.60,4.89,4.34,4.66,31055
19-Feb-16,4.51,4.86,4.12,4.48,26732
18-Feb-16,4.75,4.82,4.43,4.66,46026
17-Feb-16,5.08,5.08,4.68,4.98,24799
16-Feb-16,5.14,5.14,4.66,4.94,19041
12-Feb-16,5.20,5.20,4.60,5.05,17857
11-Feb-16,5.15,5.22,4.94,5.10,29080
10-Feb-16,5.21,5.21,5.00,5.18,4282
9-Feb-16,4.94,5.93,4.94,5.15,11095
8-Feb-16,5.43,5.43,4.93,5.10,21648
5-Feb-16,5.61,5.61,5.27,5.43,7306
4-Feb-16,5.62,5.66,5.50,5.61,4456
3-Feb-16,5.92,6.10,5.39,5.62,13296
2-Feb-16,5.60,5.63,5.42,5.47,5542
1-Feb-16,5.75,6.01,5.58,5.70,29996
29-Jan-16,5.35,5.69,5.35,5.58,4908
28-Jan-16,5.59,5.59,5.25,5.28,10661
27-Jan-16,5.71,5.71,5.30,5.36,8022
26-Jan-16,5.77,5.77,5.35,5.51,18311
25-Jan-16,6.00,6.00,5.17,5.44,17377
22-Jan-16,5.82,6.27,5.81,6.00,20590
21-Jan-16,5.26,5.73,5.23,5.61,12228
20-Jan-16,5.23,5.39,5.00,5.22,30642
19-Jan-16,5.96,5.99,5.09,5.39,40487
15-Jan-16,5.92,6.01,5.60,5.94,47733
14-Jan-16,6.42,6.46,5.82,6.40,22271
13-Jan-16,6.85,7.44,6.34,6.41,46844
12-Jan-16,7.40,7.40,6.64,7.08,32150
11-Jan-16,7.50,7.60,6.96,7.10,28673
8-Jan-16,7.97,7.97,7.53,7.58,4828
7-Jan-16,7.92,7.96,7.56,7.67,7080
6-Jan-16,7.89,8.02,7.80,8.00,17241
5-Jan-16,7.90,8.00,7.78,7.92,6719
4-Jan-16,7.73,8.13,7.73,7.94,7307
31-Dec-15,8.04,8.05,7.96,8.00,9262
30-Dec-15,8.00,8.21,7.83,8.05,5901
29-Dec-15,7.85,8.00,7.70,7.97,13614
28-Dec-15,7.93,8.00,7.93,7.97,3423
24-Dec-15,7.98,8.00,7.98,8.00,2255
23-Dec-15,7.84,8.08,7.84,8.00,13760
22-Dec-15,7.72,7.85,7.68,7.85,3656
21-Dec-15,7.85,7.85,7.71,7.79,12529
18-Dec-15,7.88,7.97,7.54,7.85,5608
17-Dec-15,8.39,8.39,7.94,7.98,9125
16-Dec-15,8.40,8.40,7.79,8.00,17562
15-Dec-15,8.11,8.45,7.49,7.95,11784
14-Dec-15,8.22,8.55,7.53,7.68,9221
11-Dec-15,7.48,7.97,7.48,7.90,15062
10-Dec-15,8.05,8.05,7.52,7.67,4388
9-Dec-15,7.78,7.93,7.50,7.62,19008
8-Dec-15,8.00,8.03,7.69,7.79,7190
7-Dec-15,8.13,8.13,7.95,7.95,12767
4-Dec-15,8.33,8.33,7.95,7.98,4581
3-Dec-15,7.93,8.23,7.93,8.00,15925
2-Dec-15,8.23,8.51,8.00,8.46,13629
1-Dec-15,8.06,8.25,7.75,8.22,21016
30-Nov-15,7.74,8.07,7.66,8.06,10963
27-Nov-15,7.77,7.83,7.61,7.83,4554
25-Nov-15,7.49,7.63,7.29,7.57,14293
24-Nov-15,7.70,7.86,7.40,7.59,8384
23-Nov-15,7.59,7.80,7.33,7.58,18293
20-Nov-15,7.35,7.62,7.35,7.60,5045
